x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16
7.14433, 1.30119, 5.47559, 7.74167, 0.142518, 3.67111, 5.8125, 4.5729, 6.47256, 0.570445, 5.7461, 2.12265, 4.77928, 4.62358, 1.11317, 4.1766, 3.6033, 5.28841, 5.66113, 6.05796, 0.740344, 2.09904, 6.64113, 3.52671, 7.82648, 4.65207, 2.98103, 0.191159, 5.21119, 3.67743, 2.64934, 1.72708
7.13138, 1.30796, 5.48616, 7.76815, 0.120387, 3.65931, 5.81626, 4.56757, 6.48446, 0.575757, 5.76413, 2.13154, 4.78227, 4.60785, 1.10877, 4.19396, 3.62679, 5.28847, 5.66428, 6.05388, 0.750674, 2.09862, 6.63105, 3.52048, 7.8199, 4.64817, 2.97526, 0.179435, 5.19823, 3.68426, 2.64, 1.71458
7.12082, 1.31754, 5.49693, 7.79473, 0.0985141, 3.64628, 5.82157, 4.56246, 6.49373, 0.578223, 5.78227, 2.14046, 4.78317, 4.59401, 1.10417, 4.21138, 3.65047, 5.28842, 5.6674, 6.04966, 0.760969, 2.09825, 6.62083, 3.51444, 7.81306, 4.64533, 2.96947, 0.167796, 5.18596, 3.68901, 2.63067, 1.70201
7.11292, 1.33039, 5.50788, 7.82143, 0.0769459, 3.63221, 5.82831, 4.55756, 6.50008, 0.577383, 5.80052, 2.14942, 4.78168, 4.58297, 1.09928, 4.22877, 3.67434, 5.28826, 5.6705, 6.04532, 0.77123, 2.09792, 6.61046, 3.50857, 7.80604, 4.64342, 2.96367, 0.156242, 5.17482, 3.69078, 2.62133, 1.68936
7.10755, 1.3465, 5.51903, 7.84825, 0.0556713, 3.6173, 5.83627, 4.55281, 6.50362, 0.573267, 5.81889, 2.15841, 4.77761, 4.57558, 1.09403, 4.24611, 3.69843, 5.28797, 5.67357, 6.04085, 0.781459, 2.09764, 6.59995, 3.50288, 7.7989, 4.64227, 2.95785, 0.144774, 5.16519, 3.68877, 2.61198, 1.67663
7.10421, 1.36536, 5.53038, 7.87518, 0.0346483, 3.60175, 5.84517, 4.54814, 6.50487, 0.566371, 5.8374, 2.16744, 4.77098, 4.57233, 1.08839, 4.26338, 3.72273, 5.28756, 5.67662, 6.03624, 0.791657, 2.09741, 6.5893, 3.49736, 7.79169, 4.64172, 2.95202, 0.133391, 5.15732, 3.68255, 2.60262, 1.66382
7.10227, 1.38627, 5.54191, 7.90222, 0.0138229, 3.58575, 5.85471, 4.54348, 6.50445, 0.557431, 5.85605, 2.17652, 4.7621, 4.57308, 1.08236, 4.28056, 3.74725, 5.287, 5.67964, 6.03149, 0.801824, 2.09721, 6.5785, 3.492, 7.78449, 4.64158, 2.94617, 0.122093, 5.1512, 3.67238, 2.59326, 1.65093
7.10115, 1.40854, 5.55359, 7.92934, 7.99314, 3.56947, 5.86463, 4.53875, 6.50296, 0.547179, 5.87485, 2.18565, 4.75149, 4.57712, 1.07594, 4.29766, 3.77199, 5.28631, 5.68264, 6.0266, 0.811961, 2.09706, 6.56755, 3.4868, 7.77732, 4.64169, 2.9403, 0.110882, 5.1466, 3.65899, 2.58389, 1.63797
7.10043, 1.43162, 5.56531, 7.95647, 7.97255, 3.55303, 5.8747, 4.53387, 6.50092, 0.536227, 5.89382, 2.19485, 4.73973, 4.58356, 1.06913, 4.31467, 3.79695, 5.28547, 5.68561, 6.02156, 0.82207, 2.09694, 6.55645, 3.48175, 7.77023, 4.64191, 2.93442, 0.0997563, 5.14317, 3.64337, 2.5745, 1.62493
7.09982, 1.45512, 5.57692, 7.98352, 7.952, 3.53655, 5.88476, 4.52881, 6.49878, 0.525067, 5.91296, 2.20411, 4.72733, 4.59154, 1.06196, 4.33161, 3.82209, 5.28451, 5.68856, 6.01638, 0.83215, 2.09687, 6.5452, 3.47684, 7.76325, 4.64215, 2.92851, 0.0887172, 5.1406, 3.62639, 2.56511, 1.61181
7.09915, 1.47883, 5.58809, 0.0103105, 7.93145, 3.52011, 5.8947, 4.52353, 6.49701, 0.51412, 5.9323, 2.21346, 4.71471, 4.60037, 1.05444, 4.34847, 3.84733, 5.2835, 5.69148, 6.01105, 0.842203, 2.09683, 6.53379, 3.47205, 7.75639, 4.64229, 2.92259, 0.0777651, 5.13867, 3.6087, 2.55569, 1.59862
7.0983, 1.50259, 5.59833, 0.0365738, 7.91088, 3.50377, 5.90444, 4.518, 6.49621, 0.503795, 5.95184, 2.22289, 4.70229, 4.6095, 1.04657, 4.36528, 3.8725, 5.28256, 5.69438, 6.00557, 0.85223, 2.09683, 6.52223, 3.46736, 7.74967, 4.64229, 2.91666, 0.0669002, 5.13722, 3.59074, 2.54626, 1.58535
7.09722, 1.52634, 5.6069, 0.0619632, 7.89025, 3.48759, 5.91394, 4.51223, 6.49717, 0.494524, 5.97159, 2.23244, 4.69049, 4.6184, 1.03837, 4.38202, 3.89731, 5.28194, 5.69725, 5.99994, 0.862234, 2.09686, 6.51051, 3.46275, 7.74309, 4.64207, 2.9107, 0.0561232, 5.13617, 3.57279, 2.53682, 1.57201
7.09587, 1.55005, 5.61286, 0.0860865, 7.86953, 3.4716, 5.92319, 4.50621, 6.50084, 0.486742, 5.99157, 2.2421, 4.67993, 4.62648, 1.02985, 4.39871, 3.92123, 5.28209, 5.70008, 5.99415, 0.872215, 2.09692, 6.49863, 3.4582, 7.73667, 4.64162, 2.90472, 0.0454346, 5.13546, 3.55502, 2.52735, 1.55859
7.09424, 1.57371, 5.61531, 0.108627, 7.84872, 3.45581, 5.93217, 4.49994, 6.50813, 0.480784, 6.01179, 2.25189, 4.67143, 4.63293, 1.02102, 4.41536, 3.94347, 5.28373, 5.70288, 5.98821, 0.882175, 2.09701, 6.4866, 3.45368, 7.73041, 4.64089, 2.89873, 0.034835, 5.13507, 3.5375, 2.51787, 1.5451
