S,R,Z,Psi
2.34,0.0233961,0.000389571,0.0233992
2.35,0.0234961,0.000392411,0.0234992
2.36,0.023596,0.00039526,0.0235992
2.37,0.023696,0.00039812,0.0236992
2.38,0.023796,0.000400989,0.0237992
2.39,0.0238959,0.000403869,0.0238992
2.4,0.0239959,0.000406758,0.0239992
2.41,0.0240958,0.000409658,0.0240992
2.42,0.0241958,0.000412567,0.0241991
2.43,0.0242957,0.000415486,0.0242991
2.44,0.0243957,0.000418416,0.0243991
2.45,0.0244957,0.000421355,0.0244991
2.46,0.0245956,0.000424305,0.0245991
2.47,0.0246956,0.000427264,0.0246991
2.48,0.0247955,0.000430234,0.0247991
2.49,0.0248955,0.000433213,0.0248991
2.5,0.0249954,0.000436202,0.0249991
2.51,0.0250954,0.000439202,0.0250991
2.52,0.0251953,0.000442211,0.0251991
2.53,0.0252953,0.000445231,0.0252991
2.54,0.0253953,0.00044826,0.0253991
2.55,0.0254952,0.000451299,0.025499
2.56,0.0255952,0.000454349,0.025599
2.57,0.0256951,0.000457408,0.025699
2.58,0.0257951,0.000460478,0.025799
2.59,0.025895,0.000463557,0.025899
2.6,0.025995,0.000466646,0.025999
2.61,0.0260949,0.000469746,0.026099
2.62,0.0261949,0.000472855,0.026199
2.63,0.0262948,0.000475974,0.026299
2.64,0.0263948,0.000479104,0.026399
2.65,0.0264947,0.000482243,0.026499
2.66,0.0265947,0.000485392,0.026599
2.67,0.0266946,0.000488552,0.0266989
2.68,0.0267946,0.000491721,0.0267989
2.69,0.0268945,0.0004949,0.0268989
2.7,0.0269945,0.000498089,0.0269989
2.71,0.0270944,0.000501289,0.0270989
2.72,0.0271944,0.000504498,0.0271989
2.73,0.0272943,0.000507717,0.0272989
2.74,0.0273943,0.000510947,0.0273989
2.75,0.0274942,0.000514186,0.0274989
2.76,0.0275942,0.000517435,0.0275989
2.77,0.0276941,0.000520694,0.0276989
2.78,0.0277941,0.000523964,0.0277988
2.79,0.027894,0.000527243,0.0278988
2.8,0.0279939,0.000530532,0.0279988
2.81,0.0280939,0.000533831,0.0280988
2.82,0.0281938,0.00053714,0.0281988
2.83,0.0282938,0.00054046,0.0282988
2.84,0.0283937,0.000543789,0.0283988
2.85,0.0284937,0.000547128,0.0284988
2.86,0.0285936,0.000550477,0.0285988
2.87,0.0286936,0.000553836,0.0286988
2.88,0.0287935,0.000557206,0.0287988
2.89,0.0288934,0.000560585,0.0288987
2.9,0.0289934,0.000563974,0.0289987
2.91,0.0290933,0.000567373,0.0290987
2.92,0.0291933,0.000570782,0.0291987
2.93,0.0292932,0.000574201,0.0292987
2.94,0.0293931,0.000577631,0.0293987
2.95,0.0294931,0.00058107,0.0294987
2.96,0.029593,0.000584519,0.0295987
2.97,0.029693,0.000587978,0.0296987
2.98,0.0297929,0.000591447,0.0297987
2.99,0.0298928,0.000594926,0.0298986
3,0.0299928,0.000598415,0.0299986
3.01,0.0300927,0.000601914,0.0300986
3.02,0.0301927,0.000605423,0.0301986
3.03,0.0302926,0.000608942,0.0302986
3.04,0.0303925,0.000612471,0.0303986
3.05,0.0304925,0.000616011,0.0304986
3.06,0.0305924,0.00061956,0.0305986
3.07,0.0306923,0.000623119,0.0306986
3.08,0.0307923,0.000626688,0.0307986
3.09,0.0308922,0.000630267,0.0308985
3.1,0.0309921,0.000633856,0.0309985
3.11,0.0310921,0.000637455,0.0310985
3.12,0.031192,0.000641064,0.0311985
3.13,0.031292,0.000644683,0.0312985
3.14,0.0313919,0.000648312,0.0313985
3.15,0.0314918,0.000651951,0.0314985
