x1,y1,x2,y2vx1,vy1,vx2,vy2
0.687457, 0.52274, -0.343728, -0.26137, 0.366172, -0.885273, -0.183086, 0.442636
0.691024, 0.513815, -0.345512, -0.256908, 0.356686, -0.892487, -0.178343, 0.446243
0.694494, 0.504819, -0.347247, -0.252409, 0.347066, -0.899639, -0.173533, 0.44982
0.697868, 0.495751, -0.348934, -0.247876, 0.337313, -0.906729, -0.168656, 0.453365
0.701142, 0.486614, -0.350571, -0.243307, 0.327424, -0.913754, -0.163712, 0.456877
0.704316, 0.477407, -0.352158, -0.238703, 0.317398, -0.920712, -0.158699, 0.460356
0.707388, 0.468131, -0.353694, -0.234065, 0.307235, -0.927601, -0.153617, 0.4638
0.710357, 0.458787, -0.355179, -0.229393, 0.296933, -0.934419, -0.148467, 0.467209
0.713222, 0.449375, -0.356611, -0.224687, 0.286491, -0.941162, -0.143246, 0.470581
0.715981, 0.439897, -0.357991, -0.219948, 0.275908, -0.94783, -0.137954, 0.473915
0.718633, 0.430352, -0.359317, -0.215176, 0.265183, -0.95442, -0.132591, 0.47721
0.721176, 0.420743, -0.360588, -0.210372, 0.254314, -0.960929, -0.127157, 0.480464
0.723609, 0.41107, -0.361805, -0.205535, 0.2433, -0.967354, -0.12165, 0.483677
0.725931, 0.401333, -0.362965, -0.200666, 0.232141, -0.973694, -0.11607, 0.486847
0.728139, 0.391533, -0.36407, -0.195767, 0.220834, -0.979945, -0.110417, 0.489972
0.730233, 0.381672, -0.365116, -0.190836, 0.20938, -0.986104, -0.10469, 0.493052
0.732211, 0.37175, -0.366105, -0.185875, 0.197777, -0.992168, -0.0988884, 0.496084
0.734071, 0.361769, -0.367035, -0.180885, 0.186023, -0.998136, -0.0930115, 0.499068
0.735812, 0.351729, -0.367906, -0.175865, 0.174118, -1.004, -0.087059, 0.502002
0.737433, 0.341631, -0.368716, -0.170816, 0.162061, -1.00977, -0.0810304, 0.504883
0.738931, 0.331477, -0.369466, -0.165739, 0.14985, -1.01542, -0.074925, 0.507712
0.740306, 0.321267, -0.370153, -0.160634, 0.137485, -1.02097, -0.0687424, 0.510485
0.741556, 0.311003, -0.370778, -0.155502, 0.124964, -1.0264, -0.0624822, 0.513202
0.742679, 0.300686, -0.371339, -0.150343, 0.112288, -1.03172, -0.0561438, 0.51586
