p_La_gamma,volumes
3.275,0.110663
3.28,0.110982
3.285,0.111302
3.29,0.111685
3.295,0.112004
3.3,0.112324
3.305,0.112707
3.31,0.113027
3.315,0.113346
3.32,0.11373
3.325,0.114049
3.33,0.114433
3.335,0.114817
3.34,0.115137
3.345,0.115521
3.35,0.11584
3.355,0.116224
3.36,0.116609
3.365,0.116993
3.37,0.117312
3.375,0.117697
3.38,0.118081
3.385,0.118466
3.39,0.118851
3.395,0.119235
3.4,0.11962
3.405,0.120005
3.41,0.12039
3.415,0.120774
3.42,0.121159
3.425,0.121544
3.43,0.121929
3.435,0.122313
3.44,0.122765
3.445,0.12315
3.45,0.123534
3.455,0.123986
3.46,0.124371
3.465,0.124823
3.47,0.125207
3.475,0.125659
3.48,0.126044
3.485,0.126496
3.49,0.126948
3.495,0.127332
3.5,0.127784
3.505,0.128236
3.51,0.128689
3.515,0.129141
3.52,0.129593
3.525,0.130045
3.53,0.130497
3.535,0.130949
3.54,0.131401
3.545,0.131853
3.55,0.132305
3.555,0.132826
3.56,0.133278
3.565,0.13373
3.57,0.134251
3.575,0.134703
3.58,0.135224
3.585,0.135745
3.59,0.136196
3.595,0.136717
3.6,0.137238
3.605,0.137759
3.61,0.13828
3.615,0.138801
3.62,0.139321
3.625,0.139842
3.63,0.140363
3.635,0.140883
3.64,0.141474
3.645,0.141995
3.65,0.142585
3.655,0.143106
3.66,0.143696
3.665,0.144287
3.67,0.144807
3.675,0.145397
3.68,0.145988
3.685,0.146578
3.69,0.14724
3.695,0.14783
3.7,0.14842
3.705,0.149082
3.71,0.149672
3.715,0.150333
3.72,0.150923
3.725,0.151584
3.73,0.152245
3.735,0.152906
3.74,0.153567
3.745,0.1543
3.75,0.15496
3.755,0.155693
3.76,0.156353
3.765,0.157086
3.77,0.157818
3.775,0.158551
3.78,0.159283
3.785,0.160015
3.79,0.160819
3.795,0.161551
3.8,0.162355
3.805,0.163159
3.81,0.163963
3.815,0.164767
3.82,0.165645
3.825,0.166448
3.83,0.167324
3.835,0.168201
3.84,0.169077
3.845,0.169953
3.85,0.170903
3.855,0.171852
3.86,0.172801
3.865,0.17375
3.87,0.174773
